start_station_name,member_casual,number_of_rides,average_duration
2112 W Peterson Ave,casual,338,27.8826923076923
2112 W Peterson Ave,member,509,18.312671905697446
351,casual,1,17.0666666666667
63rd St Beach,casual,1394,56.189335246293645
63rd St Beach,member,557,27.539407540394976
900 W Harrison St,casual,2469,22.941116511408126
900 W Harrison St,member,5554,10.923457568119073
Aberdeen St & Jackson Blvd,casual,3427,20.186319424180528
Aberdeen St & Jackson Blvd,member,7990,11.177603254067584
Aberdeen St & Monroe St,casual,3795,26.5022573561704
Aberdeen St & Monroe St,member,6892,11.483814567614626
Aberdeen St & Randolph St,casual,3784,22.98087121212121
Aberdeen St & Randolph St,member,5719,12.29440170192924
Ada St & 113th St,casual,44,69.13712121212123
Ada St & 113th St,member,5,8.810000000000006
Ada St & Washington Blvd,casual,2934,20.720989547830037
Ada St & Washington Blvd,member,5799,12.498218083577628
Adler Planetarium,casual,9669,39.75883407453373
Adler Planetarium,member,5250,22.795073015873015
Albany Ave & 26th St,casual,145,40.01000000000001
Albany Ave & 26th St,member,108,19.890432098765434
Albany Ave & Belmont Ave,casual,11,13.440909090909088
Albany Ave & Belmont Ave,member,33,14.36313131313131
Albany Ave & Bloomingdale Ave,casual,2136,29.051193820224714
Albany Ave & Bloomingdale Ave,member,2285,16.883778264040846
Albany Ave & Montrose Ave,casual,683,26.569033674963396
Albany Ave & Montrose Ave,member,1093,16.40576395242452
Altgeld Gardens,casual,48,55.26319444444443
Altgeld Gardens,member,5,26.120000000000008
Archer (Damen) Ave & 37th St,casual,276,42.06944444444444
Archer (Damen) Ave & 37th St,member,187,24.126470588235296
Archer Ave & 43rd St,casual,10,18.543333333333337
Archer Ave & 43rd St,member,3,27.0111111111111
Artesian Ave & 55th St,casual,19,17.388596491228068
Artesian Ave & Hubbard St,casual,662,25.090181268882176
Artesian Ave & Hubbard St,member,1538,14.439304291287387
Ashland Ave & 13th St,casual,568,23.47508802816901
Ashland Ave & 13th St,member,2076,12.746098265895954
Ashland Ave & 50th St,casual,105,41.05460317460317
Ashland Ave & 50th St,member,25,18.141333333333332
Ashland Ave & 63rd St,casual,83,52.51807228915665
Ashland Ave & 63rd St,member,43,17.687984496124034
Ashland Ave & 66th St,casual,54,59.8138888888889
Ashland Ave & 66th St,member,12,11.601388888888888
Ashland Ave & 74th St,casual,75,51.319555555555546
Ashland Ave & 74th St,member,17,13.767647058823536
Ashland Ave & 78th St,casual,51,37.871895424836595
Ashland Ave & 78th St,member,34,5.025980392156862
Ashland Ave & Archer Ave,casual,449,22.169896065330366
Ashland Ave & Archer Ave,member,576,14.23431712962963
Ashland Ave & Augusta Blvd,casual,2482,19.595326349717972
Ashland Ave & Augusta Blvd,member,5126,13.408899076602939
Ashland Ave & Belle Plaine Ave,casual,1409,23.285604447598768
Ashland Ave & Belle Plaine Ave,member,1552,13.47290592783505
Ashland Ave & Blackhawk St,casual,4618,20.292269380684278
Ashland Ave & Blackhawk St,member,5724,14.425748311204286
Ashland Ave & Chicago Ave,casual,3547,19.283944178178743
Ashland Ave & Chicago Ave,member,5542,12.103783231083845
Ashland Ave & Division St,casual,10169,20.603089454879207
Ashland Ave & Division St,member,13169,13.08564431619713
Ashland Ave & Garfield Blvd,casual,86,35.593410852713184
Ashland Ave & Garfield Blvd,member,14,12.053571428571422
Ashland Ave & Grace St,casual,2910,21.553344788087056
Ashland Ave & Grace St,member,4130,12.275794995964487
Ashland Ave & Grand Ave,casual,2832,20.007827212806028
Ashland Ave & Grand Ave,member,3185,12.889665096807954
Ashland Ave & Lake St,casual,2457,20.256362773029444
Ashland Ave & Lake St,member,2348,11.473807495741056
Ashland Ave & McDowell Ave,casual,138,25.192753623188405
Ashland Ave & McDowell Ave,member,155,16.609569892473118
Ashland Ave & Pershing Rd,casual,134,35.31218905472636
Ashland Ave & Pershing Rd,member,194,15.567783505154646
Ashland Ave & Wellington Ave,casual,2054,21.76050795196365
Ashland Ave & Wellington Ave,member,3875,12.975286021505378
Ashland Ave & Wrightwood Ave,casual,3168,20.09237163299663
Ashland Ave & Wrightwood Ave,member,3702,12.293647577885826
Augusta Blvd & Laramie Ave,casual,4,23.48750000000002
Austin Blvd & Chicago Ave,casual,142,61.15985915492958
Austin Blvd & Chicago Ave,member,102,19.040849673202615
Austin Blvd & Lake St,casual,324,52.3875
Austin Blvd & Lake St,member,130,22.775
Austin Blvd & Madison St,casual,170,65.10235294117648
Austin Blvd & Madison St,member,103,23.336569579288025
Avenue L & 114th St,casual,5,21.429999999999986
Avenue L & 114th St,member,1,15.4
Avenue O & 118th St,casual,69,41.25772946859903
Avenue O & 118th St,member,9,27.94259259259259
Avenue O & 134th St,casual,83,54.04076305220883
Avenue O & 134th St,member,9,34.9925925925926
Avers Ave & Belmont Ave,casual,807,28.015716646014045
Avers Ave & Belmont Ave,member,769,20.928803641092326
Avondale Ave & Irving Park Rd,casual,699,27.17925608011445
Avondale Ave & Irving Park Rd,member,490,17.200680272108844
Baltimore Ave & 87th St,casual,123,40.71314363143631
Baltimore Ave & 87th St,member,38,24.98859649122807
Base - 2132 W Hubbard Warehouse,casual,10,9.928333333333336
Base - 2132 W Hubbard Warehouse,member,159,12.639412997903564
Bennett Ave & 79th St,casual,61,44.03169398907105
Bennett Ave & 79th St,member,18,36.26851851851854
Benson Ave & Church St,casual,2442,40.951119301119306
Benson Ave & Church St,member,3218,16.352076859332918
Bernard St & Elston Ave,casual,473,31.628435517970402
Bernard St & Elston Ave,member,569,20.95199179847686
Big Marsh Park,casual,205,49.779024390243926
Big Marsh Park,member,61,30.0483606557377
Bissell St & Armitage Ave,casual,8544,19.120928916978777
Bissell St & Armitage Ave,member,10626,11.689494322103018
Blackstone Ave & Hyde Park Blvd,casual,2076,37.74925337186898
Blackstone Ave & Hyde Park Blvd,member,2456,14.744944353963085
Bloomingdale Ave & Harlem Ave,casual,16,29.066666666666666
Bloomingdale Ave & Harlem Ave,member,5,18.736666666666668
Blue Island Ave & 18th St,casual,2250,27.626340740740744
Blue Island Ave & 18th St,member,3168,13.934275042087542
Bosworth Ave & Howard St,casual,314,27.97001061571126
Bosworth Ave & Howard St,member,568,16.29286971830986
Bradley Park,casual,95,34.97684210526315
Bradley Park,member,11,4.287878787878792
Broadway & Argyle St,casual,3247,31.553562262601375
Broadway & Argyle St,member,5199,13.904497659806372
Broadway & Barry Ave,casual,11951,23.87865450589909
Broadway & Barry Ave,member,16733,13.24386939978884
Broadway & Belmont Ave,casual,6974,24.746290985565434
Broadway & Belmont Ave,member,9332,13.505361480211459
Broadway & Berwyn Ave,casual,2649,29.610236567258085
Broadway & Berwyn Ave,member,5263,13.995623535372728
Broadway & Cornelia Ave,casual,8361,25.16077622293984
Broadway & Cornelia Ave,member,12052,13.244212578825092
Broadway & Granville Ave,casual,2936,44.503706857402364
Broadway & Granville Ave,member,4167,17.920394368450523
Broadway & Ridge Ave,casual,2395,30.887543493389007
Broadway & Ridge Ave,member,4047,16.191598715097605
Broadway & Sheridan Rd,casual,5688,22.28850796999531
Broadway & Sheridan Rd,member,7862,12.454748579665903
Broadway & Thorndale Ave,casual,2621,44.82772478697699
Broadway & Thorndale Ave,member,4000,17.327608333333334
Broadway & Waveland Ave,casual,7601,24.174452922861025
Broadway & Waveland Ave,member,12741,11.958884702927557
Broadway & Wilson - Truman College Vaccination Site,casual,3447,24.313088676143504
Broadway & Wilson - Truman College Vaccination Site,member,5355,13.40152505446623
Broadway & Wilson Ave,casual,11,11.862121212121213
Broadway & Wilson Ave,member,121,9.377685950413225
Buckingham Fountain,casual,11831,47.38084411010622
Buckingham Fountain,member,1964,20.38542090970808
Budlong Woods Library,casual,454,30.5492657856094
Budlong Woods Library,member,435,20.76088122605364
Burling St & Diversey Pkwy,casual,5349,21.858235184146572
Burling St & Diversey Pkwy,member,8741,13.003172787247836
Burnham Greenway & 105th St,casual,158,59.23639240506329
Burnham Greenway & 105th St,member,38,28.293859649122812
Burnham Harbor,casual,5041,38.818752892944524
Burnham Harbor,member,8122,25.331088401871458
California Ave & 21st St,casual,532,36.33975563909775
California Ave & 21st St,member,655,16.11936386768448
California Ave & 23rd Pl,casual,207,47.863526570048336
California Ave & 23rd Pl,member,561,19.400653594771242
California Ave & 26th St,casual,109,39.26223241590217
California Ave & 26th St,member,168,14.226190476190474
California Ave & 29th St,casual,2,35.16666666666665
California Ave & 29th St,member,1,5.7
California Ave & 36th St,casual,9,28.394444444444442
California Ave & Altgeld St,casual,1806,23.50168881506091
California Ave & Altgeld St,member,1894,14.391393875395986
California Ave & Byron St,casual,915,33.11666666666667
California Ave & Byron St,member,1098,19.300485731633273
California Ave & Cortez St,casual,2141,22.22060563599564
California Ave & Cortez St,member,2513,15.786337710571694
California Ave & Division St,casual,1908,30.021645702306074
California Ave & Division St,member,1780,16.693492509363296
California Ave & Fletcher St,casual,1486,23.139008524001795
California Ave & Fletcher St,member,1372,18.084183673469386
California Ave & Francis Pl (Temp),casual,2052,23.608641975308643
California Ave & Francis Pl (Temp),member,2049,15.897584187408492
California Ave & Lake St,casual,415,31.77417670682731
California Ave & Lake St,member,374,18.039126559714795
California Ave & Marquette Rd,casual,3,49.83333333333322
California Ave & Milwaukee Ave,casual,5069,22.16821858354705
California Ave & Milwaukee Ave,member,4707,14.431382338361306
California Ave & Montrose Ave,casual,1062,36.46887947269304
California Ave & Montrose Ave,member,1655,20.784682779456194
California Ave & North Ave,casual,2136,23.68458177278402
California Ave & North Ave,member,2247,14.085588191662959
California Ave & Winona St,casual,4,12.024999999999999
California Ave & Winona St,member,20,12.888333333333334
Calumet Ave & 18th St,casual,3748,39.19219139096407
Calumet Ave & 18th St,member,5595,17.53195710455764
Calumet Ave & 21st St,casual,2033,40.64754877848828
Calumet Ave & 21st St,member,1736,16.838114439324116
Calumet Ave & 33rd St,casual,772,36.93013816925733
Calumet Ave & 33rd St,member,4366,8.216422354557947
Calumet Ave & 35th St,casual,729,33.03971193415637
Calumet Ave & 35th St,member,1289,11.941181794672874
Calumet Ave & 51st St,casual,660,28.049116161616162
Calumet Ave & 51st St,member,254,16.584711286089238
Calumet Ave & 71st St,casual,61,56.0879781420765
Calumet Ave & 71st St,member,13,39.09743589743588
Calumet Park,casual,328,51.935010162601635
Calumet Park,member,40,29.591666666666676
Campbell Ave & 51st St,casual,2,8.324999999999985
Campbell Ave & Fullerton Ave,casual,1650,28.390232323232325
