member_casual,weekday,number_of_rides,average_duration
casual,Sun,399263,32.70282219990332
casual,Mon,226466,29.021812104245228
casual,Tue,212698,26.116725513795775
casual,Wed,215872,24.612050273618934
casual,Thu,221935,24.334367119501955
casual,Fri,287031,26.429874531554663
casual,Sat,463405,30.760112572515762
member,Sun,305875,15.443096962266722
member,Mon,341152,12.90906858721821
member,Tue,382507,12.55619814365053
member,Wed,392001,12.62554853176395
member,Thu,368071,12.517206508164639
member,Fri,360222,12.979597812830235
member,Sat,351152,15.046155083838338
